ID,pLDDT
AF-A0A840NUN5-F1,39.47
AF-A0A3D5ABU5-F1,34.14
AF-A0A2U2SFU3-F1,40.12
AF-A0A821LD74-F1,55.14
AF-N1LES8-F1,46.75
AF-A0A2V4DH31-F1,48.40
AF-A0A3R7A8B6-F1,41.53
AF-D6SLS7-F1,63.43
AF-A0A7U3UYC5-F1,49.86
AF-A0A0L0EZG1-F1,39.15
AF-E6Q3L3-F1,40.83
AF-A0A484ZDC6-F1,37.02
AF-A0A6I1Z303-F1,41.50
AF-A0A0G1MNP0-F1,41.81
AF-A0A816P1S3-F1,50.26
AF-A0A6V7UWU6-F1,37.78
AF-A0A381WRP1-F1,41.99
AF-A0A0C1GA59-F1,34.33
AF-A0A336N412-F1,33.12
AF-A0A1I5X559-F1,58.33
AF-A0A812PRT4-F1,36.74
AF-A0A7C6BAG8-F1,38.61
AF-A0A5C3M7W1-F1,46.29
AF-A0A6A0BAF0-F1,60.60
AF-A0A2R6K291-F1,69.34
AF-A0A4R4DV40-F1,47.35
AF-W6NA44-F1,39.45
AF-A0A835H940-F1,47.02
AF-A0A0A9WZV4-F1,44.53
AF-A0A2N9FUQ6-F1,34.12
AF-A0A7V0S201-F1,34.64
AF-A0A847GG62-F1,43.60
AF-A0A6A0A6Q7-F1,68.09
AF-A0A099L4Q0-F1,40.34
AF-A0A2V9RIE0-F1,64.24
AF-A0A1S8M8R4-F1,41.06
AF-A0A7V9K3I4-F1,36.72
AF-X1CEW9-F1,80.91
AF-A0A838YMJ9-F1,43.35
AF-A0A7Z9VMC3-F1,73.30
AF-A0A7S1C8G2-F1,39.19
AF-K7RK56-F1,52.61
AF-A0A2X0M3K3-F1,78.86
AF-H3C3T1-F1,35.66
AF-A0A7C3FJ46-F1,38.02
AF-A0A137QL66-F1,49.47
AF-A0A6P0TRC5-F1,43.89
AF-A0A7S2S274-F1,35.96
AF-A0A534U6D8-F1,43.71
AF-A0A5N9CSR4-F1,41.22
AF-A0A7S2DK77-F1,34.47
AF-A0A7S4V5K7-F1,49.44
AF-A0A7S3F2L8-F1,56.71
AF-A0A2A7U0K4-F1,41.55
AF-A0A5K1C8V1-F1,56.94
AF-A0A812YM64-F1,49.29
AF-T0RS85-F1,44.43
AF-A0A442UPB2-F1,45.85
AF-A0A2K1J7F7-F1,52.98
AF-A0A3D5AVD5-F1,35.18
AF-A0A0A9TXR0-F1,64.93
AF-A0A257Q207-F1,65.01
AF-A0A7L5SM42-F1,68.02
AF-S4ATI4-F1,78.95
AF-A0A7J9AF42-F1,45.76
AF-A0A841ZB47-F1,45.46
AF-A0A7J2J7Z3-F1,35.36
AF-A0A0F8ZA58-F1,39.65
AF-A0A6H5GDX5-F1,51.82
AF-A0A367G448-F1,56.93
AF-A0A7W0L155-F1,59.25
AF-A0A1H1TKY1-F1,46.23
AF-A0A0R0LUI7-F1,67.87
AF-A0A381NST7-F1,39.77
AF-T1HWS3-F1,51.45
AF-A0A444S7M2-F1,31.79
AF-A0A267FWY4-F1,29.51
AF-A0A2P6Q2I3-F1,52.01
AF-A0A6V8EDF8-F1,36.98
AF-A0A3D2X6J1-F1,55.14
AF-A0A5C3M3H4-F1,56.63
AF-A0A7S2QKH8-F1,48.37
AF-A0A259J2H2-F1,40.25
AF-A0A3B6NXG1-F1,44.48
AF-A0A556UED6-F1,47.98
AF-A0A1M7H687-F1,71.38
AF-A0A2E3HUS5-F1,59.93
AF-D5QBB1-F1,78.03
AF-A0A536SVJ4-F1,37.90
AF-H1LFN5-F1,36.64
AF-A0A4Q3G3R2-F1,47.80
AF-A0A1B6NX12-F1,34.56
AF-B9TFM1-F1,43.44
AF-A0A7G9YWN2-F1,42.23
AF-A0A359MCD6-F1,42.32
AF-A0A534V5D6-F1,31.70
AF-A0A402FGV5-F1,51.81
AF-A0A540V781-F1,70.84
AF-A0A382Z0I4-F1,38.08
AF-A0A1Y3S2Q3-F1,51.42
AF-A0A839GQI8-F1,55.34
AF-A0A558IEW6-F1,37.55
AF-A0A0S7MIW0-F1,35.03
AF-A0A1U8NJU1-F1,31.44
AF-A0A6B2G6J9-F1,44.89
AF-A0A0F0LCX4-F1,38.86
AF-A0A521UXW8-F1,65.28
AF-A0A2N1DSM6-F1,49.95
AF-A0A355T1Q4-F1,46.23
AF-A0A1G6EIZ9-F1,50.58
AF-A0A6B8RK86-F1,55.71
AF-A0A6V7I298-F1,38.61
AF-A0A4S0IAV6-F1,35.65
AF-A0A2R6QQ54-F1,51.52
AF-A0A524JH57-F1,34.32
AF-A0A3C1BN36-F1,57.75
AF-A0A832H160-F1,40.09
AF-A0A0K2UJC2-F1,69.36
AF-A0A1M7R644-F1,45.19
AF-A0A1Y3X2Q8-F1,50.72
AF-A0A034WSI0-F1,46.86
AF-A0A1W5DR73-F1,74.99
AF-A0A0D2JG74-F1,49.66
AF-A0A3E0N3T5-F1,43.83
AF-A0A654ZMF8-F1,68.68
AF-A0A3M6XVU1-F1,34.80
AF-X0UXX5-F1,53.77
AF-A0A1I2X5I5-F1,53.59
AF-A0A6S7HLZ3-F1,72.22
AF-A0A840ELA8-F1,36.29
AF-E7G4B8-F1,37.41
AF-A0A6P8JNU8-F1,50.18
AF-A0A0P0V5Y0-F1,42.66
AF-A0A7W8W567-F1,39.85
AF-A0A3C1G1P3-F1,65.51
AF-A0A1J5QPG2-F1,42.65
AF-A0A413GXF1-F1,35.67
AF-A0A6I3TSF5-F1,41.17
AF-A0A099ZG18-F1,76.56
AF-A0A2B8J9V3-F1,47.79
AF-A0A7X8AZV9-F1,39.33
AF-A0A7J6QZG2-F1,40.61
AF-A0A7J9N6L6-F1,82.84
AF-A0A519PI06-F1,27.18
AF-A0A7V4Q644-F1,56.16
AF-A0A6P0S651-F1,79.09
AF-A0A6G7Z2T4-F1,38.76
AF-A0A7S2JPU8-F1,37.70
AF-A0A512HSR5-F1,58.23
AF-X1AZ52-F1,84.37
AF-A0A495ZFI3-F1,50.55
AF-A0A1Q9PHR5-F1,46.79
AF-K2DS48-F1,36.18
AF-A0A4P7RVV0-F1,52.42
AF-A0A7J4IH20-F1,54.04
AF-A0A432SH61-F1,62.44
AF-A0A7W8CIS8-F1,63.77
AF-A0A7S1JD18-F1,56.71
AF-A0A2W7AV62-F1,43.73
AF-A0A7Y5WJ84-F1,48.31
AF-A0A0A1D1U7-F1,63.12
AF-A0A6F9X348-F1,59.08
AF-A0A1D6P7G0-F1,65.64
AF-A0A813LGG5-F1,36.67
AF-A0A6I5G1W0-F1,43.07
AF-W9V0A8-F1,32.08
AF-A0A379SNN5-F1,52.29
AF-A0A0P0W7D7-F1,39.07
AF-A0A061GND5-F1,46.74
AF-N0BBN3-F1,53.79
AF-A0A439MVD7-F1,64.54
AF-A0A2H3E5S3-F1,45.25
AF-A0A838CKZ4-F1,32.69
AF-R9UL48-F1,74.77
AF-H3H3R0-F1,51.02
AF-A0A0D6JQJ1-F1,62.68
AF-A0A1J3EP11-F1,43.85
AF-A0A0G1WYU6-F1,65.45
AF-A0A4R8HZH2-F1,50.18
AF-R1E8Y0-F1,43.40
AF-A0A256YFJ9-F1,56.14
AF-A0A6L5I2Z6-F1,41.88
AF-K6YH96-F1,77.50
AF-W9ZB35-F1,35.42
AF-A0A6N7GT48-F1,30.44
AF-A0A6P0J0E2-F1,52.81
AF-A0A435IHH7-F1,58.32
AF-A0A7C6JII8-F1,43.18
AF-A0A7V8YEA1-F1,31.87
AF-A0A840YR84-F1,65.93
AF-A0A315VTW4-F1,52.51
AF-A0A812JRI4-F1,46.95
AF-A0A495YUY2-F1,79.78
AF-A0A1R3G920-F1,73.69
AF-A0A6I9N0C2-F1,34.83
AF-A0A5J4UPB1-F1,55.56
AF-A0A538EV14-F1,34.51
AF-A0A094CJ59-F1,48.23
AF-F7SLZ7-F1,35.84
AF-A0A1W0VL01-F1,36.23
AF-A0A0R1GYU7-F1,47.40
AF-A0A174S834-F1,56.15
AF-A0A496MZR8-F1,52.87
AF-W2YLR8-F1,54.11
AF-A0A1I8B2J4-F1,43.29
AF-A0A317BNN0-F1,53.93
AF-A0A7R9TP45-F1,68.81
AF-A0A5N5GEE5-F1,34.06
AF-A0A3A5S478-F1,30.54
AF-A0A645EBM8-F1,44.76
AF-A0A5A5TLM6-F1,47.44
AF-A0A433NM79-F1,40.88
AF-A0A2G5K7X4-F1,41.95
AF-A0A3D1HBI3-F1,38.98
AF-A0A3B6XZK8-F1,74.07
AF-A0A0F9TZ47-F1,34.12
AF-A0A829GJ55-F1,41.89
AF-X1QM18-F1,47.13
AF-G3Q377-F1,65.25
AF-A0A4R3PVS5-F1,74.84
AF-A0A0F9LLG3-F1,42.23
AF-A0A2V3I2G5-F1,30.01
AF-A0A1X6YDH4-F1,57.22
AF-A0A2S4GUJ6-F1,43.58
AF-A0A5J4P8V5-F1,76.30
AF-A0A2G2LLF9-F1,47.09
AF-U1N4D9-F1,71.07
AF-A0A7Y0M0A9-F1,41.87
AF-A0A699XRD6-F1,83.17
AF-A0A6A0GQA4-F1,34.78
AF-A0A1V2Z9P5-F1,55.76
AF-A0A661DB33-F1,49.61
AF-W1Y591-F1,55.86
AF-A0A1I0C157-F1,54.99
AF-A0A820I3P8-F1,52.80
AF-A0A518HBP3-F1,55.62
AF-A0A087U7Y0-F1,39.78
AF-A0A0B7K6U5-F1,42.13
AF-A0A556V1Q8-F1,37.49
AF-A0A0D2MXF2-F1,46.62
AF-A0A848XLZ2-F1,61.15
AF-A0A6B0SDY1-F1,42.39
AF-A0A397SUP4-F1,68.05
AF-A0A821QD24-F1,69.57
AF-A0A561TU30-F1,42.36
AF-A0A419W7G3-F1,66.01
AF-A0A0K9R426-F1,59.47
AF-A0A453C1P2-F1,76.72
AF-A0A022QP81-F1,56.63
AF-A0A7Y4MG72-F1,48.96
AF-A0A0E9P6J2-F1,86.03
AF-A0A2V5NMJ2-F1,45.75
AF-F6Z524-F1,60.70
AF-A0A6M8BDN4-F1,37.80
AF-V5H8Y8-F1,53.24
AF-K0JV86-F1,63.21
AF-A0A0N4XBJ0-F1,54.37
AF-A0A6N8XWW7-F1,47.41
AF-A0A3P1YER9-F1,29.99
AF-A0A5A9PN70-F1,48.44
AF-A0A2S9IXR6-F1,41.61
AF-A0A257TGQ0-F1,44.55
AF-A0A418RSA4-F1,51.45
AF-A0A2H0LW71-F1,43.88
AF-A0A1Q8E7D6-F1,41.82
AF-A0A4U9TFA6-F1,74.87
AF-A0A7S2Z7V7-F1,38.63
AF-A0A527H248-F1,35.59
AF-A0A4U0Z3N9-F1,54.59
AF-A0A7C1V5G6-F1,59.59
AF-X1VBY5-F1,83.80
AF-A0A3D5FQM5-F1,39.67
AF-A0A2S8K530-F1,35.70
AF-A0A401K267-F1,43.50
AF-A0A7S3HJ07-F1,37.63
AF-C5LKW3-F1,39.16
AF-A0A402FV61-F1,51.65
AF-A0A183EP00-F1,63.18
AF-A0A0F8WHU1-F1,43.69
